"","Date","greenpeace.org","amnesty.org","peta.org","redcross.org","unicef.org"
"1",9,129,119,131,180,214
"2",16,129,149,138,190,167
"3",23,140,103,133,203,150
"4",30,145,107,123,204,133
"5",37,151,106,103,203,133
"6",44,155,117,93,193,162
"7",51,159,156,110,176,164
"8",58,161,180,141,153,178
"9",65,168,193,138,129,139
"10",72,171,206,136,123,160
"11",79,174,233,136,88,204
"12",86,176,253,146,87,247
"13",93,181,270,144,93,260
"14",100,180,272,159,117,193
"15",107,173,262,165,160,140
"16",114,165,232,155,178,115
"17",121,160,208,148,193,116
"18",128,158,162,145,196,84
"19",135,151,135,133,199,120
"20",142,148,89,120,196,191
"21",149,139,57,111,191,239
"22",156,132,54,124,190,271
"23",163,127,108,130,190,262
"24",170,126,112,129,172,183
"25",177,125,216,150,165,100
"26",184,123,152,165,150,92
"27",190,125,145,174,157,174
"28",196,125,171,156,176,161
"29",202,129,210,127,182,155
"30",208,130,267,106,201,148
"31",3,136,294,100,190,128
"32",10,133,320,108,188,129
"33",17,134,357,121,173,117
"34",24,133,367,117,169,127
"35",31,133,366,131,183,133
"36",38,139,361,136,176,168
"37",45,143,331,148,178,186
"38",52,142,312,169,164,232
"39",59,145,285,191,142,247
"40",66,143,272,178,135,222
"41",73,146,232,163,118,198
"42",80,146,174,145,130,198
"43",87,152,141,137,125,173
"44",94,150,131,129,122,163
"45",101,152,163,129,128,169
"46",108,154,245,129,128,167
"47",115,153,174,119,135,118
"48",122,153,162,114,153,130
"49",129,156,140,122,145,196
"50",136,155,126,120,150,219
"51",143,155,128,128,152,230
"52",150,155,135,110,142,219
"53",157,161,136,111,137,198
"54",164,156,137,126,113,166
"55",171,157,144,131,103,158
"56",178,155,164,135,99,170
"57",185,156,171,133,108,137
"58",191,155,183,129,116,118
"59",197,150,185,113,127,111
"60",203,151,179,104,158,110
"61",4,147,182,121,171,126
"62",11,148,168,116,230,130
"63",18,147,161,130,261,143
"64",25,143,158,138,312,150
"65",32,141,155,137,343,157
"66",39,135,147,143,372,161
"67",46,134,142,146,388,143
"68",53,134,138,156,385,148
"69",60,139,129,156,380,141
"70",67,134,137,154,388,121
"71",74,135,156,144,380,131
"72",81,133,169,140,365,130
"73",88,133,168,148,353,148
"74",95,137,170,161,331,166
"75",102,141,166,171,311,176
"76",109,146,161,171,317,177
"77",116,146,161,163,335,168
"78",123,148,156,166,342,163
"79",130,152,141,170,339,170
"80",137,157,131,170,331,163
"81",144,161,131,157,313,170
"82",151,161,134,147,313,170
"83",158,165,139,123,316,157
"84",165,169,150,124,342,149
"85",172,175,156,151,338,151
"86",179,179,151,172,333,157
"87",186,177,151,175,323,159
"88",192,176,137,159,299,162
"89",198,176,135,148,299,174
"90",204,169,131,132,309,171
"91",209,164,139,133,314,171
"92",5,163,134,154,333,176
"93",12,163,141,155,324,169
"94",19,160,147,145,327,157
"95",26,161,162,142,311,154
"96",33,157,177,143,309,166
"97",40,155,192,154,335,158
"98",47,149,197,164,355,146
"99",54,148,209,162,362,140
"100",61,149,174,144,368,134
"101",68,149,154,126,356,123
"102",75,153,147,123,330,127
"103",82,157,155,137,325,136
"104",89,156,170,146,328,138
"105",96,157,181,152,339,133
"106",103,156,185,154,330,138
"107",110,158,197,150,315,148
"108",117,158,186,150,305,160
"109",124,162,182,144,307,185
"110",131,158,170,141,302,197
"111",138,160,165,133,305,198
"112",145,159,152,139,325,182
"113",152,160,136,153,313,174
"114",159,162,126,168,292,176
"115",166,160,118,176,265,175
"116",173,159,115,168,234,160
"117",180,154,128,147,209,140
"118",187,151,156,145,203,120
"119",193,151,196,144,216,121
"120",199,156,188,154,230,110
"121",205,148,197,158,235,122
"122",6,142,196,161,241,133
"123",13,142,206,161,258,148
"124",20,142,191,155,253,157
"125",27,142,174,167,287,161
"126",34,144,174,166,304,160
"127",41,143,183,148,316,145
"128",48,146,179,159,316,137
"129",55,145,174,169,315,144
"130",62,145,172,170,298,140
"131",69,144,167,163,288,148
"132",76,147,156,153,296,140
"133",83,147,147,149,300,136
"134",90,147,149,138,310,135
"135",97,148,139,140,329,134
"136",104,146,130,133,319,135
"137",111,146,127,124,315,150
"138",118,146,136,124,316,155
"139",125,147,132,129,327,154
"140",132,148,127,131,322,139
"141",139,147,130,141,319,132
"142",146,140,149,134,305,136
"143",153,136,167,137,290,135
"144",160,135,162,145,271,140
"145",167,130,186,158,254,145
"146",174,122,173,162,244,123
"147",181,121,160,154,257,111
"148",188,122,142,155,264,124
"149",194,131,156,155,299,142
"150",200,136,179,149,312,153
"151",206,138,201,161,335,134
"152",210,145,219,164,360,133
"153",1,139,223,176,391,135
"154",7,105,230,178,430,143
"155",14,93,228,177,458,172
"156",21,92,230,171,438,180
"157",28,130,193,158,435,159
"158",35,193,166,153,404,157
"159",42,252,158,140,372,164
"160",49,245,139,144,338,172
"161",56,220,127,143,315,152
"162",63,205,151,149,289,128
"163",70,211,115,149,290,117
"164",77,201,106,147,324,111
"165",84,216,130,150,341,161
"166",91,219,186,149,361,193
"167",98,177,193,147,391,193
"168",105,143,218,153,417,176
"169",112,149,244,149,451,161
"170",119,151,258,152,436,142
"171",126,148,255,135,416,146
"172",133,167,247,147,384,173
"173",140,204,231,159,337,192
"174",147,185,219,166,320,159
"175",154,180,206,165,334,149
"176",161,185,190,157,324,133
"177",168,189,147,146,323,115
"178",175,191,148,140,321,127
"179",182,174,93,133,322,170
"180",189,170,91,152,319,187
"181",195,154,104,143,330,171
"182",201,146,156,150,361,149
"183",207,158,150,152,381,127
"184",2,152,190,156,384,105
"185",8,152,237,151,367,115
"186",15,164,271,138,347,139
"187",22,171,295,131,330,154
"188",29,170,321,130,321,145
"189",36,156,330,121,331,133
"190",43,139,317,132,321,133
"191",50,134,291,137,317,144
"192",57,142,253,147,309,160
"193",64,162,204,147,277,178
"194",71,167,170,150,265,188
"195",78,153,140,148,290,190
"196",85,123,116,147,295,170
"197",92,117,121,146,294,174
"198",99,114,164,149,300,171
"199",106,122,148,159,293,156
"200",113,152,183,168,272,161
"201",120,183,181,164,259,187
"202",127,197,178,155,277,184
"203",134,202,170,146,290,190
"204",141,177,165,133,290,207
"205",148,158,169,140,287,219
"206",155,128,159,148,282,211
"207",162,110,148,162,279,203
"208",169,116,146,166,278,197
"209",176,146,147,153,278,170
"210",183,185,147,152,288,149
